H9834-004-0,MN,55922,PARTC
H3503-003-0,ND,58301,PARTC
H6609-111-0,CO,80002,PARTC
H0602-009-0,CO,80002,PARTC
H0609-018-0,CO,80002,PARTC
H0657-006-0,CO,81101,PARTC
H0657-007-0,CO,81101,PARTC
H0657-005-0,CO,81101,PARTC
H0602-001-0,CO,81101,PARTC
H0657-009-0,CO,81038,PARTC
H0657-010-0,CO,81038,PARTC
H0657-008-0,CO,81038,PARTC
H0609-015-0,CO,80106,PARTC
H3206-003-0,NM,87008,PARTC
H3204-008-0,NM,87008,PARTC
R5826-070-0,AZ,85920,PARTC
H0351-030-0,AZ,85602,PARTC
H5945-004-0,NV,89701,PARTC
H2906-008-0,NV,89701,PARTC
H5945-003-0,NV,89402,PARTC
H2960-009-0,NV,89402,PARTC
H1302-004-0,ID,83616,PARTC
H1350-006-0,ID,83616,PARTC
H6609-012-0,ID,83616,PARTC
H4754-006-0,ID,83616,PARTC
H1304-008-0,ID,83616,PARTC
H4754-012-0,ID,83201,PARTC
H1304-001-0,ID,83801,PARTC
H3813-001-0,OR,97368,PARTC
H5520-001-0,OR,97321,PARTC
H3817-007-2,OR,97321,PARTC
H3811-001-0,OR,97321,PARTC
H9047-035-0,OR,97002,PARTC
H9047-033-0,OR,97002,PARTC
H3817-007-1,OR,97002,PARTC
H4754-008-0,OR,97407,PARTC
H3864-002-0,OR,97701,PARTC
H3810-001-0,OR,97410,PARTC
H6743-006-0,OR,97410,PARTC
H6743-002-0,OR,97410,PARTC
H5520-003-0,OR,97410,PARTC
H6743-013-0,OR,97501,PARTC
H6743-015-0,OR,97501,PARTC
H4604-005-0,UT,83342,PARTC
H4605-001-0,UT,84010,PARTC
H3471-003-0,WA,98801,PARTC
H9302-004-0,WA,98801,PARTC
H5826-006-0,WA,98601,PARTC
H5009-001-0,WA,99328,PARTC
H5050-001-0,WA,98520,PARTC
H5010-001-0,WA,99001,PARTC
H1286-003-0,WA,99001,PARTC
H3471-009-0,WA,98501,PARTC
H3471-006-0,WA,98901,PARTC
H3471-015-0,WA,98901,PARTC
H0562-045-0,CA,94501,PARTC
H0562-044-0,CA,90001,PARTC
H2228-025-0,HI,96701,PARTC
H0504-021-0,VI,00801,PARTCRX
H3832-007-0,HI,96704,PARTCRX
H3832-008-0,HI,96704,PARTCRX
R5826-011-0,LA,70515,PARTCRX
R5826-078-0,LA,70515,PARTCRX
H5576-017-2,LA,70515,PARTCRX
H5576-018-2,LA,70515,PARTCRX
H5576-008-0,LA,70515,PARTCRX
H5576-020-2,LA,70515,PARTCRX
H6609-104-0,LA,70601,PARTCRX
H9915-008-0,MD,20701,PARTCRX
H8854-001-0,MD,20701,PARTCRX
R5826-079-0,NC,27053,PARTCRX
H8145-003-0,VA,22922,PARTCRX
H1659-001-0,VA,22922,PARTCRX
H1659-003-0,VA,22922,PARTCRX
H1659-002-0,VA,22922,PARTCRX
H6609-100-0,VA,24064,PARTCRX
H2228-010-0,DE,19901,PARTCRX
H5969-002-0,HI,96704,PARTCRX
H3832-011-0,HI,96704,PARTCRX
R3175-003-0,HI,96704,PARTCRX
H5576-019-0,LA,70515,PARTCRX
H1961-011-0,LA,70532,PARTCRX
H9915-010-0,MD,20701,PARTCRX
H9915-009-0,MD,20701,PARTCRX
H2228-011-0,MD,20701,PARTCRX
H8854-002-0,MD,20701,PARTCRX
H0147-001-0,VA,22901,PARTCRX
H3067-001-0,VA,22901,PARTCRX
H3480-001-0,VA,22901,PARTCRX
H4007-012-0,PR,00601,PARTCRX
H4007-013-0,PR,00601,PARTCRX
H2029-001-0,PR,00601,PARTCRX
H5577-008-0,PR,00601,PARTCRX
H5577-005-0,PR,00601,PARTCRX
H5577-014-0,PR,00601,PARTCRX
H7522-001-0,PR,00601,PARTCRX
H4003-034-0,PR,00601,PARTCRX
H4003-027-0,PR,00601,PARTCRX
H4003-019-0,PR,00601,PARTCRX
H4004-056-0,PR,00601,PARTCRX
H5774-005-0,PR,00601,PARTCRX
H5774-023-0,PR,00601,PARTCRX
H4005-004-0,PR,00601,PARTCRX
H8266-001-0,PR,00934,PARTCRX
H8266-004-0,PR,00934,PARTCRX
H4876-001-0,PR,00934,PARTCRX
H8266-002-0,PR,00934,PARTCRX
H4007-016-0,PR,00601,PARTCRX
H4007-018-0,PR,00601,PARTCRX
H5577-019-0,PR,00601,PARTCRX
H5577-002-0,PR,00601,PARTCRX
H5577-017-0,PR,00601,PARTCRX
H4003-017-0,PR,00601,PARTCRX
H4003-033-0,PR,00601,PARTCRX
H4003-009-0,PR,00601,PARTCRX
H4004-048-0,PR,00601,PARTCRX
H5774-026-0,PR,00601,PARTCRX
H5774-024-0,PR,00601,PARTCRX
H5774-025-0,PR,00601,PARTCRX
H5774-022-0,PR,00601,PARTCRX
H3054-001-0,PR,00934,PARTCRX
H3054-004-0,PR,00934,PARTCRX
H3054-003-0,PR,00934,PARTCRX
H5435-024-0,AZ,85901,PARTCRX
H3597-007-0,ME,04210,PARTCRX
H5521-143-0,ME,04210,PARTCRX
H6786-002-0,ME,04210,PARTCRX
H8432-003-0,ME,04210,PARTCRX
H5619-001-0,ME,04210,PARTCRX
H1660-013-0,ME,04210,PARTCRX
H1660-005-0,ME,04210,PARTCRX
H5591-006-3,ME,04210,PARTCRX
H1365-001-0,ME,04210,PARTCRX
R5329-001-0,ME,04210,PARTCRX
H2001-001-0,ME,04210,PARTCRX
H2001-010-0,ME,04210,PARTCRX
H2775-083-0,ME,04210,PARTCRX
H2775-089-0,ME,04210,PARTCRX
H5591-001-0,ME,04471,PARTCRX
H1365-002-0,ME,04471,PARTCRX
H5521-142-0,ME,04003,PARTCRX
H3597-001-0,ME,04003,PARTCRX
H5591-006-1,ME,04003,PARTCRX
H2775-082-0,ME,04003,PARTCRX
H2775-088-0,ME,04003,PARTCRX
H2816-013-0,ME,04003,PARTCRX
H2816-019-0,ME,04003,PARTCRX
H3597-009-0,ME,04225,PARTCRX
H5521-144-0,ME,04225,PARTCRX
H3597-005-0,ME,04225,PARTCRX
H5619-040-1,ME,04259,PARTCRX
H5591-006-2,ME,04259,PARTCRX
H5591-008-0,ME,04259,PARTCRX
H8432-004-0,ME,04401,PARTCRX
H5619-040-2,ME,04401,PARTCRX
H5591-009-0,ME,04401,PARTCRX
H6750-002-0,NH,03227,PARTCRX
H6750-001-0,NH,03227,PARTCRX
H1944-017-0,NH,03227,PARTCRX
H1944-019-0,NH,03227,PARTCRX
H7728-002-0,NH,03431,PARTCRX
H3536-004-0,NH,03431,PARTCRX
H3536-003-0,NH,03431,PARTCRX
H5322-024-0,NH,03215,PARTCRX
H3536-002-0,NH,03031,PARTCRX
H5591-005-0,NH,03031,PARTCRX
H1365-003-0,NH,03031,PARTCRX
H8432-002-0,ME,04210,PARTCRX
H5619-003-0,ME,04210,PARTCRX
H0710-015-0,ME,04210,PARTCRX
H5591-007-0,ME,04003,PARTCRX
H5652-006-0,CO,80104,PARTCRX
H5652-001-0,CO,80104,PARTCRX
H5793-010-0,CT,06404,PARTCRX
H5793-008-0,CT,06404,PARTCRX
H5521-013-0,CT,06404,PARTCRX
H5854-009-0,CT,06404,PARTCRX
H5854-010-0,CT,06404,PARTCRX
H3528-002-0,CT,06404,PARTCRX
H3528-006-0,CT,06404,PARTCRX
H3528-008-0,CT,06404,PARTCRX
H3528-001-0,CT,06404,PARTCRX
H3528-010-0,CT,06404,PARTCRX
R7444-001-0,CT,06404,PARTCRX
H0755-030-0,CT,06404,PARTCRX
H0755-031-0,CT,06404,PARTCRX
H0755-033-0,CT,06404,PARTCRX
H0712-020-0,CT,06404,PARTCRX
H5793-011-0,CT,06001,PARTCRX
H5793-001-0,CT,06001,PARTCRX
H5854-007-0,CT,06001,PARTCRX
H8578-013-0,CT,06001,PARTCRX
H8578-014-0,CT,06001,PARTCRX
H8578-015-0,CT,06001,PARTCRX
H0712-019-0,CT,06001,PARTCRX
H2261-021-0,MA,02532,PARTCRX
H2261-005-0,MA,02532,PARTCRX
H2261-019-0,MA,02532,PARTCRX
H2230-002-0,MA,02532,PARTCRX
H2230-017-0,MA,02532,PARTCRX
H2230-016-0,MA,02532,PARTCRX
H9001-031-4,MA,02532,PARTCRX
H9001-030-4,MA,02532,PARTCRX
H9001-032-4,MA,02532,PARTCRX
H2256-026-2,MA,02532,PARTCRX
H2256-015-2,MA,02532,PARTCRX
H2256-001-2,MA,02532,PARTCRX
H2256-028-0,MA,02532,PARTCRX
H2256-018-7,MA,02532,PARTCRX
H8578-004-0,MA,01011,PARTCRX
H8578-001-0,MA,01011,PARTCRX
H8578-012-0,MA,01011,PARTCRX
H9001-031-2,MA,02048,PARTCRX
H9001-030-2,MA,02048,PARTCRX
H9001-032-2,MA,02048,PARTCRX
H1660-009-0,MA,02048,PARTCRX
H1660-001-0,MA,02048,PARTCRX
H1944-005-0,MA,02048,PARTCRX
H1944-006-0,MA,02048,PARTCRX
H1944-022-0,MA,02048,PARTCRX
H9001-031-1,MA,01810,PARTCRX
